name,main_category,subcategory,source_url,image_url,source_vendor,external_id,local_image_path
FLORENTINE CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-96h2w-rfban-sgb8m-34wxj,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418eddc237e5665777b840d/1705332206204/FLORENTINE+CHARGER.jpg?format=1500w,Rental Reserve,black-sunflower-charger-96h2w-rfban-sgb8m-34wxj,images/chargers/black-sunflower-charger-96h2w-rfban-sgb8m-34wxj.jpg
FLORENTINE CHARGER BLUSH,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-96h2w-rfban-sgb8m,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418ec8bd4a29f275afc5d6d/1705332206204/FLORENTINE+CHARGER+BLUSH.jpg?format=1500w,Rental Reserve,black-sunflower-charger-96h2w-rfban-sgb8m,images/chargers/black-sunflower-charger-96h2w-rfban-sgb8m.jpg
BLACK RIM CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-rim-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/64179c1b5cf2ca012575edaf/1705332206204/BLACK+RIM+CHARGER.jpg?format=1500w,Rental Reserve,black-rim-charger,images/chargers/black-rim-charger.jpg
BLACK SUNFLOWER CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418eb965cf2ca012576bea7/1705332206204/BLACK+SUNFLOWER+CHARGER.jpg?format=1500w,Rental Reserve,black-sunflower-charger,images/chargers/black-sunflower-charger.jpg
BLACK SUNFLOWER DINNER PLATE,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-mbkl7,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418ebe578a06a22fab5d006/1706310346873/BLACK+SUNFLOWER+DINNER+PLATE.jpg?format=1500w,Rental Reserve,black-sunflower-charger-mbkl7,images/chargers/black-sunflower-charger-mbkl7.jpg
BLACK SUNFLOWER BREAD PLATE,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-bread-plate,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b1ebcd04b3cb21df710631/1706205797904/Black+Sunflower+Bread+Plate.png?format=1500w,Rental Reserve,black-sunflower-bread-plate,images/chargers/black-sunflower-bread-plate.png
BLACK SQUARE CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-square-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6417a0d6a512f147a8aaeeba/1705332206204/BLACK+SQUARE+CHARGER.jpg?format=1500w,Rental Reserve,black-square-charger,images/chargers/black-square-charger.jpg
WHITE RIM GLASS CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/white-rim-glass-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b1ea60d2ac3a1f42c4a121/1706205805812/WHITE+RIM+CLEAR+CHARGER.png?format=1500w,Rental Reserve,white-rim-glass-charger,images/chargers/white-rim-glass-charger.png
SILVER RIM CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-96h2w-rfban-sgb8m-34wxj-6dnx2-5r7aw-ts8aw-k68l7-6dk75-cec6h-z3zn6-9yf55-azj44-rx33e-w3fnn-9f5mc-5edje-mkp5h,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f18f890a1837ade994cf/1705332206204/SILVER+RIM+CHARGER.jpg?format=1500w,Rental Reserve,,images/chargers/SILVER_RIM_CHARGER.jpg
CRYSTAL CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-96h2w-rfban,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418ec3f58e6bf06567f362e/1705332206204/CRYSTAL+CHARGER.jpg?format=1500w,Rental Reserve,black-sunflower-charger-96h2w-rfban,images/chargers/black-sunflower-charger-96h2w-rfban.jpg
